Date,open,high,low,close,volume,sma_20,sma_50,sma_200,macd,macd_signal,macd_hist,adx,adx_pos,adx_neg,cci,aroon_up,aroon_down,rsi_14,rsi_7,stoch_k,stoch_d,roc_10,roc_30,williams,awesome,bb_width,bb_pct,atr,atr_pct,hv_20,hv_60,hv_90,obv,mfi,vol_ratio,cmf,returns_1d,returns_5d,returns_20d,returns_60d,gap,candle_body,above_sma20,above_sma50,above_sma200,price_sma20_pct,price_sma50_pct,52w_pct,golden_cross,death_cross,target_6mo,target_1yr,future_126,future_252,ticker
2021-03-04,205.4838046716741,207.53385426149245,196.9450953696952,200.48095703125,59126500,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,59126500,,,,,,,,,-0.024346676120745404,0,0,0,,,,0,0,0,0,0.07045359060852219,-0.044355766771801086,IWM
2021-03-05,203.9603370951546,205.1452183947788,194.85740669362863,204.73146057128903,53204300,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,112330800,,,,0.02120153256938262,,,,0.01735516487655688,0.003780752116382723,0,0,0,,,,0,0,0,0,0.055511321556133586,-0.07884876227903381,IWM
2021-03-08,206.28313867214248,209.01966624005416,204.69388353443796,205.7001037597656,40619700,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,152950500,,,,0.00473128646556642,,,,0.007579089684194217,-0.0028263818173753525,0,0,0,,,,0,0,0,0,0.045678575142859223,-0.10598466169790688,IWM
2021-03-09,209.15132650941092,211.57752495586925,207.75014571596503,210.02587890625,32247300,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,185197800,,,,0.021029523405279527,,,,0.016777933926854914,0.0041814336606444905,0,0,0,,,,0,0,0,0,0.017088101238454056,-0.11956171114515746,IWM
2021-03-10,212.15115459444743,215.3202518273656,211.77499146570767,213.6745758056641,36812000,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,222009800,,,,0.01737260626364412,,,,0.010119113412380868,0.007180829225849279,0,0,0,,,,0,0,0,0,-0.011187015817684776,-0.1102052740563938,IWM
2021-03-11,215.86568088783145,218.4329315029979,215.15097810692555,218.3765106201172,25256700,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,247266500,,,,0.02200512062197557,0.08926310934398485,,,0.010254402396239684,0.01163144471111549,0,0,0,,,,0,0,0,0,-0.03295267736354823,-0.13092869291409437,IWM
2021-03-12,218.16021601644005,220.1914394549655,217.57716677141784,219.66482543945312,23732200,,,,,,,0.0,0.0,0.0,,,,,100.0,,,,,,,,,0.0,0.0,,,,270998700,,,,0.005899511882837327,0.07294123153565923,,,-0.0009904664336926434,0.006896809374688181,0,0,0,,,,0,0,0,0,-0.04803155108720125,-0.1498116067889631,IWM
2021-03-15,219.42973933410272,220.54880134500033,218.0849937910284,220.4453582763672,21497400,,,,,,,0.0,0.0,0.0,,,,,100.0,,,,,,,,,0.0,0.0,,,,292496100,,,,0.003553290042466184,0.07168326241498835,,,-0.0010702036836304138,0.004628447107223976,0,0,0,,,,0,0,0,0,-0.04600907295834389,-0.170133231518255,IWM
2021-03-16,220.0691813684509,220.13500094053956,215.46128040352545,216.7590179443359,24675000,,,,,,,0.0,0.0,0.0,,,,,73.78635936689605,,,,,,,,,0.0,0.0,,,,267821100,,,,-0.0167222406534403,0.032058616172206955,,,-0.0017064405930606091,-0.015041467430907129,0,0,0,,,,0,0,0,0,-0.04214770329757034,-0.14257493865588422,IWM
2021-03-17,215.32023407255184,218.94072676142025,213.80621168346295,218.46112060546875,29422600,,,,,,,0.0,0.0,0.0,,,,,77.02995233474458,,,,,,,,,0.0,0.0,,,,297243700,,,,0.007852511407714369,0.02240109653549993,,,-0.006637711710554587,0.014587047735811046,0,0,0,,,,0,0,0,0,-0.04101524138880963,-0.12248750931405783,IWM
2021-03-18,217.0411364967557,219.04414933302797,211.2201436586437,211.8125915527344,35637200,,,,,,,0.0,0.0,0.0,,,,,49.25571074362635,,,5.652224874264783,,,,,,0.0,0.0,,,,261606500,,,,-0.030433465846498642,-0.030057807264817216,,,-0.006499939690737774,-0.024090110420497978,0,0,0,,,,0,0,0,0,-0.01020145735105027,-0.08073631166997464,IWM
2021-03-19,211.18257429212215,214.97233022055883,209.65913861317705,213.41128540039065,40855600,,,,,,,0.0,0.0,0.0,,,,,53.91703696185231,,,4.239614568704373,,,,,,0.0,0.0,,,,302462100,,,,0.007547680881182295,-0.02846855442855667,,,-0.0029744089149318616,0.010553480161554617,0,0,0,,,,0,0,0,0,-0.01633376285434962,-0.07801433449529482,IWM
2021-03-22,214.1071355929684,214.50211044721857,210.74056542823465,211.80319213867188,26128400,,,,,,,0.0,0.0,0.0,,,,,48.67041152842958,,,2.966983617098217,,,,,,0.0,0.0,,,,276333700,,,,-0.007535183805775558,-0.03920321210329514,,,0.0032606063511073195,-0.01076070373789744,0,0,0,,,,0,0,0,0,-0.03243207455744057,-0.07921641607713248,IWM
2021-03-23,209.8566168699012,210.51488443114297,203.15165774452657,204.12025451660156,43660700,,,,,,,0.0,0.0,0.0,,,,42.54261854741847,31.555057588536073,36.054281788390085,,-2.8118555772284384,,-63.94571821160992,,,,5.848532356880755,0.028652386166686993,,,,232673000,41.877634517704855,,,-0.0362739463201297,-0.05830790131638264,,,-0.009190490705574606,-0.027334674688044267,0,0,0,,,,0,0,0,0,0.0055119054960948155,-0.034978255953682647,IWM
2021-03-24,206.75334922269911,208.13571834349463,199.39952087402344,199.39952087402344,47270200,,,,,,,0.0,0.0,0.0,,,,36.31835405547831,25.20197592292574,17.679515814655456,,-6.680745651566773,,-82.32048418534455,,,,6.054794150637215,0.030365138913408654,,,,185402800,37.92504598490103,,,-0.02312721808895346,-0.08725396848013856,,,0.012899722824275123,-0.03556812199796154,0,0,0,,,,0,0,0,0,0.04531151918139242,-0.029270697766816567,IWM
2021-03-25,197.23064891682495,204.93748134876984,195.9964286384226,204.12722778320312,59244600,,,,,,,0.0,17.180814975057967,28.463836619999356,,,,44.997413543391744,39.4463567562755,33.11614417861226,28.949980593885936,-6.525098691453033,,-66.88385582138774,,,,6.260955476330787,0.03067182925224298,,,,244647400,37.472355277984185,,,0.023709720507134824,-0.036283790841668995,,,-0.010877016893926554,0.03496707486498003,0,0,0,,,,0,0,0,0,0.03917517249998914,-0.040849528341307395,IWM
2021-03-26,206.29422047850105,207.91471350173475,203.46775609021552,207.84877014160156,34452600,,,,,,,0.0,19.888032867462897,26.915528949883093,,,,50.69400668509804,48.46029521663318,48.273711240965525,33.02312374474442,-5.379129441508357,,-51.72628875903449,,,,6.1313841859871046,0.029499256511262804,,,,279100000,36.684878032149406,,,0.01823148434833488,-0.026064766201810752,,,0.010615892445219497,0.007535594838707507,0,0,0,,,,0,0,0,0,0.015646499667402614,-0.0567416680168531,IWM
2021-03-29,206.34128892224237,208.150224161936,201.6964733037197,201.9979553222656,38078800,,,,,,,0.0,18.329723603617683,26.957076939386717,,,,43.13092290800981,38.06681435042621,24.44377476493403,35.277876728170604,-8.368242859971907,,-75.55622523506597,,,,6.154410376860618,0.030467686502130494,,,,241021200,29.71114104619754,,,-0.02814938387823973,-0.04629409366968651,,,-0.007252779115916514,-0.021049270471468585,0,0,0,,,,0,0,0,0,0.06094784629076999,-0.029090798116774175,IWM
2021-03-30,201.98851400584385,206.03035071197732,200.8108208148083,205.39910888671875,36205400,,,,,,,0.0,17.158739292973948,26.318933504100794,,,,47.98866922301389,45.93141456633767,38.296421941237135,37.00463598237889,-5.240801128068592,,-61.70357805876287,,,,6.08763319973979,0.029638070158656774,,,,277226600,29.383948526722833,,,0.01683756431606942,0.00626520074230652,,,-4.6739663313094014e-05,0.016885093182869484,0,0,0,,,,0,0,0,0,0.019649973449294755,-0.019605771799436567,IWM
2021-03-31,206.49201980126165,209.53517510217495,206.4449091965258,208.15963745117188,34800100,209.8199676513672,,,,,,0.0,20.65252526205014,24.958270953353328,-20.597302527018634,,,51.60222478235894,51.73502330854643,49.53985082464425,37.4266825102718,-4.715476660444722,,-50.46014917535576,,12.299502428241462,0.43566310324762036,5.948235558005249,0.028575355101547746,,,,312026700,30.578213683596204,0.9368372921549659,0.08343815305404098,0.013439827365441914,0.04393248558848284,,,0.00532091361282554,0.008075942360906491,0,0,0,-0.007913118178276425,,,0,0,0,0,0.003990851747734059,-0.05202745941745868,IWM
2021-04-01,209.53518557602723,210.94841753191628,209.1771765896431,210.7976837158203,29799200,210.3358039855957,,,,,,0.0,21.738825473392406,24.055238655947498,1.4682356440209818,,,54.83179303427289,56.89362051467287,60.28441835046097,49.37356370544745,-0.4791536846200251,,-39.71558164953904,,11.574799851242904,0.5189715234758592,5.722560166772332,0.02714716815607831,0.3078657592688034,,,341825900,31.28574124804186,0.8351793721973094,0.14903947386667488,0.012673188217227072,0.03267793329218027,0.051459883458967015,,0.006608140471859784,0.006025232164785872,1,0,0,0.0021959158710518163,,,0,0,0,0,-0.017867528947319467,-0.07377271262773477,IWM
2021-04-05,213.30383263836967,213.43573373017225,210.63754730951325,211.95655822753903,27826600,210.6970588684082,,,,,,0.0,24.265420121651985,23.15015293600257,17.911584456870287,,,56.21406155576209,59.132244229582966,66.1187803046526,58.64768315991927,-0.681654285583979,,-33.8812196953474,,11.307515234063766,0.5528654941469113,5.513676327764236,0.02601323768344642,0.3002969438759751,,,369652500,32.05001672325969,0.8086515069331522,0.08113232879047683,0.005497567578973017,0.019763350454943485,0.03529060768720571,,0.011888882640266805,-0.00631622223642112,1,0,0,0.005977773804196719,,,0,0,0,0,-0.007475315469931965,-0.06851556625489463,IWM
2021-04-06,211.984821140678,213.57706498631717,210.89191816807897,211.3347320556641,24907800,210.97879028320312,,,,,,0.0,23.554225710909158,22.283702988302473,13.592494126291077,,,55.23725420656363,57.27037591323126,66.55019652694605,64.31779839401987,-0.22117706455579467,,-33.449803473053954,,11.08236130529858,0.51522326670372,5.3116385056552335,0.025133769797153132,0.30057325998255263,,,344744700,32.07633386726681,0.7407409610319781,0.0905072854357616,-0.0029337434853391464,0.046222134865190556,0.02739244265272278,,0.00013334295185384135,-0.003066677517346567,1,0,0,0.0016870974185674663,,,0,0,0,0,-0.013601050625655864,-0.06424446786516691,IWM
2021-04-07,211.25932377072,211.39122484082205,207.2174868270553,207.92410278320312,26233700,210.8737014770508,,,,,,0.0,22.165522559599456,26.160363262790504,-29.80728622157962,,,50.095483264043466,47.66643316080587,51.75207693128786,61.47368458762884,1.8635329823636815,,-48.24792306871215,,11.154227882042285,0.37459900048993566,5.230359899091771,0.02515513992391816,0.29752200340775353,,,318511000,32.35424730718901,0.787211581510969,0.05613741216117467,-0.01613851750389339,0.012293110277693309,-0.010007224509628432,,-0.0003568191759596076,-0.01578733155049192,0,0,0,-0.013987513251644976,,,0,0,0,0,0.00603837489177339,-0.07140212089460296,IWM
2021-04-08,209.0075758733543,209.9308977448067,206.69929994700033,209.68592834472656,23989400,210.6742691040039,,,,,,0.0,21.12691044948719,25.68591835358661,-27.550842456706718,,,52.55249428884233,52.46998680281725,72.14149824212386,63.481257233452595,5.158692170179219,,-27.85850175787614,,11.106275870675965,0.45775972339959414,5.087591177571386,0.024262911763840694,0.29212527116467185,,,342500400,33.183517915499976,0.7339864415637025,0.08434072890791638,0.008473407065079153,0.007332309530529102,-0.018666925842245163,,0.005210906651239394,0.0032455879579218897,0,0,0,-0.00469132164775539,,,0,0,0,0,-0.007605164817260257,-0.09226845598708233,IWM
2021-04-09,209.62002654415977,210.1853107982504,208.44233304462747,209.7142333984375,23267400,210.24115524291992,,,0.8392273319339836,,,0.0,20.953882719487872,25.005356378507283,-13.14889996150159,28.000000000000004,4.0,52.59287710575439,52.55161714012512,74.1275295973946,66.0070349236021,2.7370212567468712,,-25.872470402605405,,10.611726800576681,0.4763820385930492,4.848690218717925,0.02312046321378075,0.2795452951020055,,,365767800,39.42520857963398,0.7140690232350021,0.06357890415123371,0.0001349878550953587,-0.005139763864025371,-0.039666707729149486,,-0.00031428814077659033,0.0004494172423808641,0,0,0,-0.0025062735403593374,,,0,0,0,0,0.0075597548049191055,-0.0953389127573735,IWM
2021-04-12,209.83670123257895,210.03454567393635,207.6508953728391,208.89454650878903,20533900,209.70264129638673,,,0.7661761362659547,,,0.0,20.166931545778436,25.313220841094857,-15.791068762713508,24.0,0.0,51.232993786391326,49.6695463439361,73.36547787652233,73.21150190534694,0.5031429180336325,,-26.634522123477662,,9.81361445358907,0.4607328471504393,4.672615938887877,0.022368300259427373,0.27809250789490225,,,345233900,39.936627274191075,0.633286794206696,0.04341686612768258,-0.003908589685904351,-0.014446411775864365,-0.049030512323115394,,0.0005839748316376056,-0.004489942504105399,0,0,0,-0.0038535269875390283,,,0,0,0,0,0.0039019400351190114,-0.09902920450693131,IWM
2021-04-13,208.66841263415432,209.6953721520323,206.1717085049478,208.34808349609375,24608400,209.09777755737304,,,0.6566184504846433,,,12.205699540159909,19.02919852391644,26.253414602683133,-22.1149991516815,20.0,52.0,50.29923740197068,47.63752923139507,70.25715459469343,72.58338735620345,3.1436596294735857,,-29.742845405306582,,8.645548057382243,0.4585292275737472,4.590547918044779,0.022033070047936452,0.2772124060080685,,,320625500,41.594644131453826,0.7553250656540171,0.021874128231141154,-0.002615975485373845,-0.014132312897738308,-0.0548765230298357,,-0.001082526463294317,-0.0015351108201539373,0,0,0,-0.003585375559862162,,,0,0,0,0,0.0007659125696666269,-0.10273767238159426,IWM
