Date,open,high,low,close,volume,sma_20,sma_50,sma_200,macd,macd_signal,macd_hist,adx,adx_pos,adx_neg,cci,aroon_up,aroon_down,rsi_14,rsi_7,stoch_k,stoch_d,roc_10,roc_30,williams,awesome,bb_width,bb_pct,atr,atr_pct,hv_20,hv_60,hv_90,obv,mfi,vol_ratio,cmf,returns_1d,returns_5d,returns_20d,returns_60d,gap,candle_body,above_sma20,above_sma50,above_sma200,price_sma20_pct,price_sma50_pct,52w_pct,golden_cross,death_cross,target_6mo,target_1yr,future_126,future_252,ticker
2021-03-04,128.6999969482422,135.47000122070312,126.69000244140624,132.3000030517578,10929500,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,10929500,,,,,,,,,0.027972076059453416,0,0,0,,,,0,0,1,0,1.9473922407156383,0.06969010588076952,MRNA
2021-03-05,133.072998046875,134.27000427246094,121.12000274658205,132.19000244140625,12039600,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,-1110100,,,,-0.0008314482827980196,,,,0.00584274359244676,-0.006635422801183747,0,0,0,,,,0,0,1,0,2.0082456790813192,0.03230202128450399,MRNA
2021-03-08,129.14999389648438,133.5500030517578,122.4800033569336,123.47000122070312,6839300,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,-7949400,,,,-0.0659656635120216,,,,-0.02299726521486656,-0.04397981373727256,0,0,0,,,,0,0,1,0,2.3749089502492056,0.024216391303219398,MRNA
2021-03-09,127.11000061035156,132.3000030517578,125.5999984741211,130.8699951171875,7834200,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,-115200,,,,0.05993353708045124,,,,0.029480840314502328,0.029580634794679962,0,0,0,,,,0,0,1,0,2.3345306864088458,-0.01214943376796851,MRNA
2021-03-10,133.6199951171875,135.71499633789062,128.79299926757812,129.75,5555900,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,-5671100,,,,-0.008558074111522651,,,,0.02101322000903645,-0.02896269464584602,0,0,0,,,,0,0,1,0,2.259344846986392,0.0981888669993376,MRNA
2021-03-11,132.98199462890625,140.85000610351562,131.47999572753906,140.47000122070312,8140100,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,2469000,,,,0.08262043330021673,0.061753575060380594,,,0.02490939983723577,0.05630842440464419,0,0,0,,,,0,0,1,0,2.2456753005319885,-0.006762988111244983,MRNA
2021-03-12,134.0399932861328,138.74200439453125,133.1999969482422,136.99000549316406,4923100,,,,,,,0.0,0.0,0.0,,,,,60.4500439225187,,,,,,,,,0.0,0.0,,,,-2454100,,,,-0.024773942459581644,0.03631139241324566,,,-0.04577495464260631,0.02200844788698178,0,0,0,,,,0,0,1,0,2.2803853336967492,0.00883269878501114,MRNA
2021-03-15,136.77000427246094,143.85000610351562,135.00999450683594,143.66000366210938,7321700,,,,,,,0.0,0.0,0.0,,,,,70.47792694973101,,,,,,,,,0.0,0.0,,,,4867600,,,,0.04868967005974856,0.1635215213557546,,,-0.0016059654856536037,0.05037653852720822,0,0,0,,,,0,0,1,0,1.9216204268509647,0.044619264226011035,MRNA
2021-03-16,148.5,157.75,145.83999633789062,156.02000427246094,16991600,,,,,,,0.0,0.0,0.0,,,,,80.93079407288256,,,,,,,,,0.0,0.0,,,,21859200,,,,0.08603647706582618,0.19217551840475644,,,0.03369063214867155,0.050639759410170355,0,0,0,,,,0,0,1,0,1.7413791805066188,-0.050634591327644696,MRNA
2021-03-17,150.25,152.08299255371094,143.25,147.5500030517578,12894900,,,,,,,0.0,0.0,0.0,,,,,63.075690844684445,,,,,,,,,0.0,0.0,,,,8964300,,,,-0.054287918143572034,0.137186921400831,,,-0.03698246452004756,-0.017970029605485643,0,0,0,,,,0,0,1,0,1.9444932732578635,0.14781428063368596,MRNA
2021-03-18,144.4499969482422,147.61000061035156,140.86000061035156,141.4600067138672,7135600,,,,,,,0.0,0.0,0.0,,,,,53.22542311968929,,,6.92366096055632,,,,,,0.0,0.0,,,,1828700,,,,-0.04127411868473063,0.007047807251091109,,,-0.021009868108285912,-0.020699136708363125,0,0,0,,,,0,0,1,0,2.1150146541968735,0.18945275357704028,MRNA
2021-03-19,143.05999755859375,145.17999267578125,138.52999877929688,143.74000549316406,6933700,,,,,,,0.0,0.0,0.0,,,,,56.21220473946168,,,8.737425552947848,,,,,,0.0,0.0,,,,8762400,,,,0.016117621031283003,0.04927366763509489,,,0.011310552585732393,0.004753305928773312,0,0,0,,,,0,0,1,1,1.991860104064215,0.24481693222344236,MRNA
2021-03-22,144.19000244140625,147.9199981689453,141.85000610351562,145.60000610351562,6050700,,,,,,,0.0,0.0,0.0,,,,,58.72090639804155,,,17.92338597555776,,,,,,0.0,0.0,,,,14813100,,,,0.01294003436252833,0.013504123569209714,,,0.003130631216376694,0.009778789362824043,0,0,0,,,,0,0,1,1,1.9074860496317245,0.2045329500750468,MRNA
2021-03-23,145.61000061035156,146.19000244140625,136.3800048828125,136.52000427246094,6961200,,,,,,,0.0,0.0,0.0,,,,49.19457781163077,44.27426387905947,42.04204936008264,,4.31726856122684,,-57.95795063991736,,,,9.435857500348773,0.06911703197318955,,,,7851900,48.04509937073122,,,-0.06236264732433583,-0.12498397299071184,,,6.864358802817064e-05,-0.062427005698274696,0,0,0,,,,0,0,1,1,2.1793143492632985,0.36771165673314155,MRNA
2021-03-24,137.25,137.74000549316406,131.00999450683594,131.61000061035156,5864600,,,,,,,0.0,0.0,0.0,,,,44.713159336970875,38.325761519353236,28.637724953120745,,1.433526481966522,,-71.36227504687926,,,,9.242582749347296,0.0702270549837693,,,,1987300,45.715167195957385,,,-0.03596545201031631,-0.10803119018448815,,,0.005347170412306905,-0.04109289172755807,0,0,0,,,,0,0,1,1,2.3486817048615607,0.3580274667477006,MRNA
2021-03-25,127.33000183105467,134.30999755859375,126.41999816894533,133.3300018310547,5696300,,,,,,,0.0,21.86808807845573,20.688055719222824,,,,46.550024981268656,41.53600873896257,30.762686438344343,33.81415358384924,-5.0829353795122705,,-69.23731356165565,,,,9.145969652225947,0.06859648636130979,,,,7683600,48.12205612851712,,,0.013068924950432992,-0.05747210870177011,,,-0.03252031577703475,0.04712165172127992,0,0,0,,,,0,0,1,1,2.409585238583804,0.34763361740186305,MRNA
2021-03-26,133.3800048828125,135.60000610351562,128.02000427246094,133.27999877929688,4047100,,,,,,,0.0,21.57874306142043,19.453707078216905,,,,46.50165493904445,41.46280926637995,23.888024698828776,27.76281203009795,-2.7082316702675953,,-76.11197530117123,,,,9.034114807856572,0.06778297486893517,,,,3636500,52.74885123577937,,,-0.0003750322588398358,-0.07277032359905289,,,0.00037503225883696767,-0.0007497833247400198,0,0,0,,,,0,0,1,1,2.2273410758408074,0.24489795684720983,MRNA
2021-03-29,130.11000061035156,131.3000030517578,121.9000015258789,123.41999816894533,10814800,,,,,,,0.0,19.680260792907706,22.473586075899703,,,,38.09553250525161,29.501974443545237,4.23987924061881,19.63019679259731,-14.088824291532712,,-95.7601207593812,,,,9.201677839682386,0.07455580923775396,,,,-7178300,44.95528598256998,,,-0.07397959709377755,-0.15233521294498586,,,-0.023784500284778978,-0.05141804941950451,0,0,0,,,,0,0,1,1,2.3125911716368996,0.4023659406811164,MRNA
2021-03-30,123.1500015258789,123.5979995727539,117.34100341796876,118.48999786376952,11061600,,,,,,,0.0,18.70579843871918,24.96857388084815,,,,34.71631880293353,25.252594464831844,2.8434124650144836,10.32377213482069,-24.054611832436564,,-97.15658753498552,,,,8.991343433618297,0.07588272086796688,,,,-18239900,38.69602504770072,,,-0.03994490664654937,-0.13206860419303745,,,-0.002187624753442662,-0.03784006174853591,0,0,0,,,,0,0,1,1,2.2425521004465927,0.524516859197973,MRNA
2021-03-31,121.0999984741211,131.8000030517578,119.3280029296875,130.9499969482422,10015700,135.5835018157959,,,,,,0.0,23.077975882046868,22.424898309809073,-75.51803904528144,,,47.41265941714507,47.534997908991635,33.67812784622563,13.587139850619641,-11.250427489108658,,-66.32187215377438,,26.11616435432154,0.36914407734303145,9.299819273216155,0.07101809461531243,,,,-8224200,39.28836226531162,1.191981967400411,0.13226983769241943,0.10515654746486036,-0.005014844305512911,,,0.022027180837072197,0.08133772583114184,0,0,0,-0.03417454782820574,,,0,0,1,1,1.8934708112001264,0.33577703127463376,MRNA
2021-04-01,132.1999969482422,136.63699340820312,130.33999633789062,132.5500030517578,7269700,135.5960018157959,,,,,,0.0,25.729520461365162,21.318371459808137,-20.607270452927377,,,48.78992487371238,49.777904357839496,37.63765725514716,24.71973252212909,-6.298602600897471,,-62.36234274485284,,26.100570737789617,0.4139337591421266,9.085331973008751,0.06854267645239201,0.845485014071548,,,-954500,44.48250855316084,0.8844379937149995,0.10355665260573656,0.012218450865241426,-0.005850137017812562,0.0018896447031993002,,0.009545628324714778,0.0026475500120473443,0,0,0,-0.022463780076299976,,,0,0,1,1,1.9035079327858129,0.2995849908775352,MRNA
